County,Municipality,Neighborhood,Population,White,WhiteRate,Black,BlackRate,Hispanic,HispanicRate,Over5,OtherThanEnglish,OtherThanEnglishRate,EnglishNotWell,EnglishNotWellRate,DI,Families,Poverty,PovertyRate,TractHH,Assistance,AssistanceRate,MedianIncome,Uninsured,UninsuredRate,Over25,HSGraduates,GraduationRate,VacantHousing,VacancyRate,AgeUnder5,AgeUnder5Rate,Age5to9,Age5to9Rate,Age10to14,Age10to14Rate,Age15to19,Age15to19Rate,Age20to24,Age20to24Rate,Age25to29,Age25to29Rate,Age30to34,Age30to34Rate,Age35to39,Age35to39Rate,Age40to44,Age40to44Rate,Age45to49,Age45to49Rate,Age50to54,Age50to54Rate,Age55to59,Age55to59Rate,Age60to64,Age60to64Rate,Age65to69,Age65to69Rate,Age70to74,Age70to74Rate,Age75to79,Age75to79Rate,Age80to84,Age80to84Rate,Age85andover,Age85andoverRate,Households,TwoParentHH,TwoParentRate,SingleParentHH,SingleParentRate,CoupleNoKids,CoupleNoKidsRate,SingleAdult,SingleRate,Over1,SameHomeLastYear,SameHomeRate,SameMetroLastYear,SameMetroRate,USLastYear,USLastYearRate,AbroadLastYear,AbroadRate,ShootingsTotal,ShootingsYouth,ShootingRateTotal,ShootingRateYouth,Children,HospitalAdmissions,HospitalAdmissionRate,HospitalPatients,HospitalPatientRate,AsthmaAdmissions,AsthmaAdmissionRate,AsthmaPatients,AsthmaPatientRate,DiabetesAdmissions,DiabetesAdmissionRate,DiabetesPatients,DiabetesPatientRate,MHAdmissions,MHAdmissionRate,MHPatients,MHPatientRate,AsthmaRegistry,AsthmaRegistryRate,DiabetesRegistry,DiabetesRegistryRate,GenPedsRegistry,GenPedsRegistryRate
Boone,Burlington,Burlington,19438,17623,0.907,285,0.015,1039,0.053,18537,1504,0.081,110,0.006,0.192,5055,81,0.016,6727,244,0.036,100410,505,0.026,13152,12332,0.938,386,0.054,901,0.046,1286,0.066,1116,0.057,1580,0.081,1403,0.072,1264,0.065,1189,0.061,1126,0.058,799,0.041,1867,0.096,1637,0.084,1334,0.069,912,0.047,1067,0.055,867,0.045,389,0.02,508,0.026,193,0.01,6727,1824,0.271,308,0.046,2745,0.408,1850,0.275,19272,17244,0.895,1356,0.07,554,0.029,118,0.006,NA,NA,NA,NA,4383,158.5,3.6,114,2.6,8,0.2,6,0.1,1.5,0,1.5,0,8,0.2,11.5,0.3,207,4.7,8,0.2,10,0.2
Boone,Florence,Florence,73851,61861,0.838,4374,0.059,3671,0.05,68886,6739,0.098,1413,0.021,0.231,18890,767,0.041,28576,2259,0.079,80318,4126,0.056,49476,46262,0.935,1055,0.036,4965,0.067,4858,0.066,4588,0.062,5361,0.073,4603,0.062,4874,0.066,4801,0.065,5008,0.068,5641,0.076,4511,0.061,4620,0.063,4442,0.06,4405,0.06,3805,0.052,3181,0.043,1748,0.024,1585,0.021,855,0.012,28576,6503,0.228,2017,0.071,9373,0.328,10683,0.374,72898,62085,0.852,7491,0.103,2774,0.038,548,0.008,NA,NA,NA,NA,17986,661,3.7,467,2.6,19.5,0.1,16.5,0.1,4,0,4,0,0,0,35.5,0.2,797,4.4,36,0.2,43,0.2
Boone,Hebron,Hebron,19066,17552,0.921,190,0.01,1077,0.056,17976,1486,0.083,150,0.008,0.169,5166,91,0.018,6283,288,0.046,116477,801,0.042,12481,11839,0.949,353,0.053,1090,0.057,1707,0.09,1549,0.081,1262,0.066,977,0.051,1193,0.063,959,0.05,1331,0.07,1761,0.092,1583,0.083,1155,0.061,1599,0.084,1162,0.061,686,0.036,486,0.025,386,0.02,93,0.005,87,0.005,6283,2212,0.352,218,0.035,2407,0.383,1446,0.23,18839,16765,0.89,1650,0.088,424,0.023,0,0,NA,NA,NA,NA,5229,196.5,3.8,134,2.6,4.5,0.1,4.5,0.1,0.5,0,0.5,0,28,0.5,16.5,0.3,234,4.5,22,0.4,6,0.1
Boone,Walton,Walton,23795,22204,0.933,40,0.002,387,0.016,22087,961,0.044,62,0.003,0.196,6017,157,0.026,8001,360,0.045,107801,1759,0.074,14867,13986,0.941,392,0.047,1708,0.072,2553,0.107,2262,0.095,1473,0.062,932,0.039,986,0.041,1427,0.06,1559,0.066,1552,0.065,1451,0.061,1394,0.059,1589,0.067,1544,0.065,1154,0.048,760,0.032,742,0.031,432,0.018,277,0.012,8001,2603,0.325,280,0.035,3143,0.393,1975,0.247,23557,20169,0.856,2927,0.124,457,0.019,4,0,NA,NA,NA,NA,7409,185.5,2.5,141.5,1.9,6,0.1,6,0.1,2.5,0,2.5,0,15,0.2,13.5,0.2,257,3.5,21,0.3,8,0.1
Butler,Fairfield,Fairfield,44602,29775,0.668,7834,0.176,3282,0.074,41645,6729,0.162,1725,0.041,0.26,11617,590,0.051,18383,1557,0.085,67182,3455,0.077,30645,28433,0.928,1103,0.057,2957,0.066,2517,0.056,2542,0.057,3327,0.075,2614,0.059,3495,0.078,2497,0.056,2871,0.064,2622,0.059,2580,0.058,2354,0.053,3387,0.076,3326,0.075,2546,0.057,1718,0.039,1302,0.029,717,0.016,1230,0.028,18383,3583,0.195,1395,0.076,5817,0.316,7588,0.413,43824,39503,0.901,3139,0.072,648,0.015,534,0.012,NA,NA,NA,NA,9933,429.5,4.3,325.5,3.3,17.5,0.2,16,0.2,3,0,2.5,0,0,0,54,0.5,802,8.1,28,0.3,1028,10.3
Butler,Fairfield Township,Fairfield Township,22618,17893,0.791,2017,0.089,645,0.029,21333,3033,0.142,513,0.024,0.208,6116,226,0.037,8266,383,0.046,100316,1067,0.047,15895,14739,0.927,93,0.011,1285,0.057,1223,0.054,1576,0.07,1705,0.075,934,0.041,1136,0.05,1041,0.046,1545,0.068,1826,0.081,1566,0.069,1653,0.073,1094,0.048,2046,0.09,1919,0.085,868,0.038,576,0.025,288,0.013,337,0.015,8266,2180,0.264,351,0.042,3289,0.398,2446,0.296,22534,19583,0.869,2610,0.116,341,0.015,0,0,NA,NA,NA,NA,4874,188,3.9,138.5,2.8,3.5,0.1,3.5,0.1,1.5,0,1.5,0,44,0.9,31,0.6,418,8.6,19,0.4,291,6
Butler,Hamilton,Hamilton,63149,50398,0.798,5608,0.089,5898,0.093,59098,4889,0.083,1885,0.032,0.371,14794,2292,0.155,24700,4502,0.182,52995,5747,0.091,41404,35768,0.864,2331,0.086,4051,0.064,4288,0.068,4265,0.068,3607,0.057,5534,0.088,5065,0.08,4656,0.074,3757,0.059,3878,0.061,3265,0.052,3395,0.054,4059,0.064,3719,0.059,3009,0.048,2683,0.042,1548,0.025,1449,0.023,921,0.015,24700,4519,0.183,2294,0.093,6974,0.282,10913,0.442,62295,53172,0.854,7605,0.122,1210,0.019,308,0.005,NA,NA,NA,NA,14750,728,4.9,540.5,3.7,30,0.2,28.5,0.2,13,0.1,11,0.1,77.5,0.5,105.5,0.7,1389,9.4,54,0.4,912,6.2
Butler,Hanover Township,Hanover Township,8137,7105,0.873,76,0.009,22,0.003,7665,45,0.006,28,0.004,0.248,2360,39,0.017,3071,126,0.041,74087,405,0.05,5371,4883,0.909,85,0.027,472,0.058,591,0.073,512,0.063,652,0.08,539,0.066,124,0.015,602,0.074,366,0.045,544,0.067,500,0.061,443,0.054,546,0.067,480,0.059,598,0.073,358,0.044,377,0.046,162,0.02,271,0.033,3071,929,0.303,69,0.022,1219,0.397,854,0.278,8137,7676,0.943,296,0.036,165,0.02,0,0,NA,NA,NA,NA,1969,66,3.4,50,2.5,2.5,0.1,2.5,0.1,1,0.1,1,0.1,5.5,0.3,9.5,0.5,127,6.4,4,0.2,32,1.6
Butler,Lemon Township,Lemon Township,16786,14180,0.845,635,0.038,1241,0.074,15632,940,0.06,124,0.008,0.235,4437,208,0.047,5903,388,0.066,95932,917,0.055,10531,9811,0.932,316,0.051,1154,0.069,915,0.055,1540,0.092,1368,0.081,1278,0.076,866,0.052,1097,0.065,1225,0.073,1118,0.067,1452,0.087,890,0.053,763,0.045,701,0.042,618,0.037,579,0.034,321,0.019,445,0.027,456,0.027,5903,1746,0.296,325,0.055,2181,0.369,1651,0.28,16693,14880,0.891,1192,0.071,523,0.031,98,0.006,NA,NA,NA,NA,4743,158,3.3,111,2.3,4,0.1,3,0.1,1,0,1,0,39,0.8,21.5,0.5,311,6.6,13,0.3,110,2.3
Butler,Liberty Township,Liberty Township,43724,35118,0.803,2511,0.057,2515,0.058,40892,3661,0.09,649,0.016,0.146,12366,308,0.025,14549,530,0.036,137831,1415,0.032,28479,27308,0.959,669,0.044,2832,0.065,2857,0.065,3972,0.091,3214,0.074,2370,0.054,1852,0.042,2428,0.056,2559,0.059,3570,0.082,3376,0.077,3806,0.087,3001,0.069,2853,0.065,2100,0.048,1726,0.039,637,0.015,369,0.008,202,0.005,14549,5458,0.375,469,0.032,6387,0.439,2235,0.154,43060,39732,0.923,2183,0.051,1040,0.024,105,0.002,NA,NA,NA,NA,11847,376,3.2,274.5,2.3,14.5,0.1,13,0.1,3,0,3,0,24,0.2,41.5,0.3,740,6.2,40,0.3,309,2.6
