Neighborhood,Race,ContactMonth,Admission,ED,Encounters
Amberley,Other race,2019-05-01,1,0,1
Amberley,Other race,2020-04-01,0,1,1
Amberley,Other race,2021-10-01,1,0,1
Amberley,Other race,2022-07-01,0,1,1
Amberley,Other race,2022-08-01,1,0,1
Amberley,Other race,2023-04-01,0,1,1
Amberley,Other race,2023-11-01,1,0,1
Amberley,Other race,2024-05-01,0,1,1
Anderson Township,Black,2019-04-01,0,1,1
Anderson Township,Black,2019-09-01,0,1,1
Anderson Township,Black,2022-07-01,0,1,1
Anderson Township,Black,2022-10-01,1,0,1
Anderson Township,Other race,2019-01-01,1,2,3
Anderson Township,Other race,2019-02-01,0,1,1
Anderson Township,Other race,2019-03-01,0,2,2
Anderson Township,Other race,2019-04-01,0,1,1
Anderson Township,Other race,2019-05-01,0,1,1
Anderson Township,Other race,2019-07-01,1,4,5
Anderson Township,Other race,2019-09-01,0,1,1
Anderson Township,Other race,2019-11-01,3,1,4
Anderson Township,Other race,2020-01-01,1,0,1
Anderson Township,Other race,2020-03-01,0,1,1
Anderson Township,Other race,2020-07-01,1,0,1
Anderson Township,Other race,2020-10-01,0,1,1
Anderson Township,Other race,2020-12-01,0,1,1
Anderson Township,Other race,2021-03-01,0,1,1
Anderson Township,Other race,2021-04-01,1,0,1
Anderson Township,Other race,2021-07-01,0,2,2
Anderson Township,Other race,2021-10-01,0,1,1
Anderson Township,Other race,2021-11-01,1,2,3
Anderson Township,Other race,2022-01-01,0,1,1
Anderson Township,Other race,2022-03-01,0,1,1
Anderson Township,Other race,2022-04-01,1,0,1
Anderson Township,Other race,2022-05-01,0,2,2
Anderson Township,Other race,2022-07-01,1,1,2
Anderson Township,Other race,2022-08-01,3,1,4
Anderson Township,Other race,2022-09-01,3,0,3
Anderson Township,Other race,2022-10-01,0,1,1
Anderson Township,Other race,2022-11-01,1,3,4
Anderson Township,Other race,2023-01-01,0,2,2
Anderson Township,Other race,2023-05-01,0,1,1
Anderson Township,Other race,2023-06-01,1,1,2
Anderson Township,Other race,2023-07-01,1,0,1
Anderson Township,Other race,2023-08-01,0,2,2
Anderson Township,Other race,2023-09-01,2,3,5
Anderson Township,Other race,2023-10-01,2,1,3
Anderson Township,Other race,2023-11-01,1,2,3
Anderson Township,Other race,2023-12-01,1,1,2
Anderson Township,Other race,2024-01-01,1,0,1
Anderson Township,Other race,2024-02-01,1,1,2
Anderson Township,Other race,2024-03-01,0,1,1
Anderson Township,Other race,2024-04-01,1,0,1
Anderson Township,Other race,2024-05-01,1,1,2
Anderson Township,Other race,2024-06-01,0,1,1
Anderson Township,Other race,2024-07-01,0,1,1
Arlington Heights,Black,2019-08-01,1,1,2
Arlington Heights,Black,2022-01-01,1,0,1
Arlington Heights,Black,2022-05-01,0,1,1
Arlington Heights,Black,2022-08-01,1,0,1
Arlington Heights,Other race,2019-11-01,0,1,1
Arlington Heights,Other race,2019-12-01,1,3,4
Arlington Heights,Other race,2022-05-01,1,0,1
Arlington Heights,Other race,2022-07-01,1,0,1
Arlington Heights,Other race,2022-10-01,1,0,1
Avondale,Black,2019-01-01,1,4,5
Avondale,Black,2019-02-01,1,3,4
Avondale,Black,2019-03-01,0,3,3
Avondale,Black,2019-04-01,5,2,7
Avondale,Black,2019-05-01,2,5,7
Avondale,Black,2019-06-01,0,2,2
Avondale,Black,2019-07-01,0,6,6
Avondale,Black,2019-08-01,3,4,7
Avondale,Black,2019-09-01,2,3,5
Avondale,Black,2019-10-01,1,4,5
Avondale,Black,2019-11-01,4,8,12
Avondale,Black,2019-12-01,0,1,1
Avondale,Black,2020-01-01,1,1,2
Avondale,Black,2020-02-01,1,4,5
Avondale,Black,2020-03-01,2,4,6
Avondale,Black,2020-05-01,1,0,1
Avondale,Black,2020-06-01,1,1,2
Avondale,Black,2020-07-01,1,4,5
Avondale,Black,2020-09-01,0,3,3
Avondale,Black,2020-10-01,0,3,3
Avondale,Black,2020-11-01,2,4,6
Avondale,Black,2020-12-01,1,0,1
Avondale,Black,2021-01-01,0,2,2
Avondale,Black,2021-02-01,0,1,1
Avondale,Black,2021-03-01,4,2,6
Avondale,Black,2021-04-01,4,4,8
Avondale,Black,2021-05-01,2,3,5
Avondale,Black,2021-06-01,1,0,1
Avondale,Black,2021-07-01,1,5,6
Avondale,Black,2021-08-01,0,8,8
Avondale,Black,2021-09-01,1,4,5
Avondale,Black,2021-10-01,2,7,9
Avondale,Black,2021-11-01,5,2,7
Avondale,Black,2021-12-01,1,4,5
Avondale,Black,2022-01-01,0,2,2
Avondale,Black,2022-02-01,3,0,3
Avondale,Black,2022-03-01,3,2,5
Avondale,Black,2022-04-01,3,5,8
Avondale,Black,2022-05-01,3,3,6
Avondale,Black,2022-06-01,0,1,1
Avondale,Black,2022-07-01,0,1,1
Avondale,Black,2022-08-01,6,2,8
Avondale,Black,2022-09-01,2,2,4
Avondale,Black,2022-10-01,4,6,10
Avondale,Black,2022-11-01,0,4,4
Avondale,Black,2022-12-01,1,2,3
Avondale,Black,2023-01-01,3,0,3
Avondale,Black,2023-02-01,0,3,3
Avondale,Black,2023-03-01,0,1,1
Avondale,Black,2023-04-01,3,4,7
Avondale,Black,2023-05-01,0,2,2
Avondale,Black,2023-07-01,0,4,4
Avondale,Black,2023-08-01,6,1,7
Avondale,Black,2023-09-01,4,8,12
Avondale,Black,2023-10-01,4,9,13
Avondale,Black,2023-11-01,3,3,6
Avondale,Black,2023-12-01,3,3,6
Avondale,Black,2024-01-01,1,2,3
Avondale,Black,2024-02-01,2,2,4
Avondale,Black,2024-04-01,3,3,6
Avondale,Black,2024-05-01,2,4,6
Avondale,Black,2024-06-01,3,0,3
Avondale,Other race,2019-03-01,1,0,1
Avondale,Other race,2019-06-01,1,0,1
Avondale,Other race,2021-09-01,0,1,1
Avondale,Other race,2021-10-01,1,0,1
Avondale,Other race,2022-02-01,1,0,1
Avondale,Other race,2022-09-01,1,1,2
Avondale,Other race,2022-10-01,0,1,1
Avondale,Other race,2022-11-01,1,1,2
Avondale,Other race,2023-04-01,0,1,1
Avondale,Other race,2023-08-01,1,1,2
Avondale,Other race,2023-09-01,1,0,1
Avondale,Other race,2023-10-01,1,0,1
Avondale,Other race,2024-04-01,1,0,1
Blue Ash,Black,2019-11-01,0,1,1
Blue Ash,Black,2019-12-01,1,0,1
Blue Ash,Black,2020-10-01,0,1,1
Blue Ash,Black,2021-02-01,2,0,2
Blue Ash,Black,2022-07-01,1,0,1
Blue Ash,Black,2022-08-01,1,0,1
Blue Ash,Black,2022-10-01,1,0,1
Blue Ash,Black,2022-12-01,0,2,2
Blue Ash,Black,2023-08-01,0,2,2
Blue Ash,Black,2023-09-01,0,1,1
Blue Ash,Other race,2019-04-01,0,1,1
Blue Ash,Other race,2019-05-01,1,0,1
Blue Ash,Other race,2019-10-01,0,1,1
Blue Ash,Other race,2019-11-01,1,0,1
Blue Ash,Other race,2019-12-01,0,1,1
Blue Ash,Other race,2020-01-01,1,0,1
Blue Ash,Other race,2020-02-01,2,0,2
Blue Ash,Other race,2020-04-01,0,1,1
Blue Ash,Other race,2020-09-01,1,0,1
Blue Ash,Other race,2020-11-01,2,0,2
Blue Ash,Other race,2021-06-01,1,0,1
Blue Ash,Other race,2021-09-01,1,0,1
Blue Ash,Other race,2021-11-01,1,0,1
Blue Ash,Other race,2021-12-01,0,1,1
Blue Ash,Other race,2022-07-01,1,1,2
Blue Ash,Other race,2022-09-01,0,2,2
Blue Ash,Other race,2023-01-01,1,0,1
Blue Ash,Other race,2023-07-01,2,0,2
Blue Ash,Other race,2024-01-01,0,1,1
Blue Ash,Other race,2024-03-01,0,1,1
Blue Ash,NA,2021-11-01,0,1,1
Blue Ash,NA,2022-01-01,1,0,1
Bond Hill,Black,2019-01-01,0,2,2
Bond Hill,Black,2019-02-01,1,2,3
Bond Hill,Black,2019-03-01,1,0,1
Bond Hill,Black,2019-04-01,1,1,2
Bond Hill,Black,2019-05-01,0,4,4
Bond Hill,Black,2019-06-01,0,1,1
Bond Hill,Black,2019-07-01,0,1,1
Bond Hill,Black,2019-09-01,0,4,4
Bond Hill,Black,2019-10-01,1,4,5
Bond Hill,Black,2019-11-01,0,2,2
Bond Hill,Black,2019-12-01,2,1,3
Bond Hill,Black,2020-01-01,0,4,4
Bond Hill,Black,2020-02-01,1,0,1
Bond Hill,Black,2020-03-01,0,2,2
Bond Hill,Black,2020-05-01,0,2,2
Bond Hill,Black,2020-06-01,1,0,1
Bond Hill,Black,2020-07-01,1,1,2
Bond Hill,Black,2020-10-01,1,2,3
Bond Hill,Black,2020-11-01,3,3,6
Bond Hill,Black,2021-01-01,0,1,1
Bond Hill,Black,2021-04-01,1,0,1
Bond Hill,Black,2021-05-01,2,0,2
Bond Hill,Black,2021-06-01,2,0,2
Bond Hill,Black,2021-07-01,3,1,4
Bond Hill,Black,2021-08-01,2,3,5
Bond Hill,Black,2021-09-01,2,2,4
Bond Hill,Black,2021-10-01,2,3,5
Bond Hill,Black,2021-11-01,3,3,6
Bond Hill,Black,2021-12-01,0,1,1
Bond Hill,Black,2022-01-01,0,1,1
Bond Hill,Black,2022-02-01,2,0,2
Bond Hill,Black,2022-03-01,0,1,1
Bond Hill,Black,2022-04-01,2,1,3
Bond Hill,Black,2022-05-01,1,5,6
Bond Hill,Black,2022-06-01,1,4,5
Bond Hill,Black,2022-07-01,0,1,1
Bond Hill,Black,2022-08-01,4,1,5
Bond Hill,Black,2022-09-01,1,2,3
Bond Hill,Black,2022-10-01,3,2,5
Bond Hill,Black,2022-11-01,1,0,1
Bond Hill,Black,2022-12-01,1,2,3
Bond Hill,Black,2023-02-01,1,0,1
Bond Hill,Black,2023-03-01,1,3,4
Bond Hill,Black,2023-04-01,2,2,4
